"연령별(1)","시점","성별(1)",계,계,계,계,계,암질환,암질환,암질환,암질환,암질환,뇌혈관,뇌혈관,뇌혈관,뇌혈관,뇌혈관,심장질환,심장질환,심장질환,심장질환,심장질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,중증화상,중증화상,중증화상,중증화상,중증화상,중증외상,중증외상,중증외상,중증외상,중증외상,중증치매,중증치매,중증치매,중증치매,중증치매,결핵,결핵,결핵,결핵,결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵
"연령별(1)","시점","성별(1)",진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"계","2012","계",1553478,37050537,335616017,8286105168,7649682105,889378,19336383,169904665,4387049179,4120278776,29603,542494,833606,292036752,274862135,73287,571977,1479928,679860988,643211162,589455,16438524,163139555,2898693741,2584893773,8947,161159,258263,28464508,26436259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","2013","계",1658480,44469391,362975149,8771765364,8091727549,952806,23063317,185270757,4564488971,4285868860,30612,549996,869401,304422357,286653070,75773,585625,1512799,708866495,670772587,631417,20089172,175057002,3163867233,2820442640,9813,181281,265190,30120308,27990391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","2014","계",1754674,47382850,388237024,9599245223,8856788715,997286,24166771,196484006,4953774811,4652879543,32015,556597,939467,334341491,315239513,81990,616790,1751865,769313767,728249228,680712,21861035,188789853,3509785831,3130617824,9234,181657,271833,32029323,29802607,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","2015","계",1825700,49231515,399244968,10616797284,9756573134,1027828,24727024,200111061,5399762803,5037929750,46711,788191,1311898,451604907,424809875,84330,640204,1788812,872154497,822201418,707926,22862676,195718583,3854154730,3435228078,10368,213420,314614,39120346,36404010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","2016","계",1902581,52469513,420485572,12028136413,11019985270,1062943,26387665,206718796,6202588641,5766876670,48389,810383,1366852,517839941,483789847,90727,682958,1877279,1023477138,954941969,743082,24355463,210185642,4241001146,3774905410,12530,233044,337003,43229546,39471373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","2017","계",1981994,55192231,439411200,13466915883,12314121642,1096825,27803708,212649809,7001178354,6493192323,63559,1056403,1790305,658829089,613084622,96593,702241,2057964,1154739548,1071152606,767969,25415683,223364389,4608370888,4098716878,15185,267701,382062,50719651,44064169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","2018","계",2091680,57785529,464055144,15038225950,13709697482,1140367,29177666,221489464,7978851663,7367251347,65210,1064721,1866538,726916353,673767653,98867,715910,2103615,1276510021,1178696164,833219,27003740,245504061,5057752874,4491794783,17612,277711,398423,54235333,47389442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","2019","계",2237132,62695961,513763648,17258710898,15690740644,1192675,31051541,237143022,9056945892,8318071923,68365,1102059,1980566,844319729,780315382,103144,743384,2155403,1444028880,1327586006,884261,28520026,265929693,5605294002,4972915144,20669,298673,427827,51784252,45439574,3637,55863,81348,66836284,61839872,-,-,-,-,-,42474,924415,6045789,189501859,184572742,-,-,-,-,-
"계","2020","계",2316274,62969422,542888732,18344952471,16659135662,1252528,31316358,254624892,9719420209,8910826930,67482,1090214,2006329,889100871,822166607,100534,736021,2210573,1481801604,1361369490,868801,27862289,265857144,5834215392,5176701490,22496,318268,460233,68334274,59952353,4067,63257,94037,78555438,72483401,48858,823953,12509736,106138788,92845481,35792,759062,5125788,167385895,162789910,-,-,-,-,-
"계","2021","계",2446706,66100778,586693835,20002021514,18137269927,1313325,33186880,274091637,10665127303,9757473180,69259,1113821,2085269,945873749,872835655,107759,797521,2416218,1651390513,1509736812,931621,29106434,287207218,6320328957,5609724175,4895,103625,164278,34374216,29953313,4156,65043,98745,85242823,78402362,56274,946110,14631974,130382791,114386323,31773,670611,4648249,165147782,160616825,19058,110733,1350247,4153380,4141284
